,Proportion of non-white character mentions,Proportion of non-white character dialogue,Burstiness of most frequent character,Min burstiness non-white character,Min burstiness white character,Dataset,Author race,Most frequent character race,Most frequent character gender,Most frequent character POV,Hollyhock recurrence,AP recurrence,Different main character race in book,Book
154,0.670485230341216,0.5897435897435898,0.6805616378606663,0.6805616378606663,0.5826084101153303,Both,Non-white,Black,M,Third person,10,8,True,native son - wright
155,0.8531278331822303,0.8709677419354839,0.46318990359315787,0.46318990359315787,0.772781290081133,Teachers Only,Non-white,Black,M,First person,7,0,True,narrative of the life of frederick douglass - douglass
156,1.0,1.0,0.7011599598931009,0.7011599598931009,inf,AP Only,Non-white,AAPI,M,Third person,0,3,False,namesake - lahiri
157,0.0,0.0,0.1407988172285741,inf,0.1407988172285741,AP Only,White,White*,M,First person,0,1,False,my name is asher lev - potok
158,0.0,0.0,0.39523891645990866,inf,0.39523891645990866,AP Only,White,White*,M,First person,0,5,False,my ántonia - cather
159,0.0,0.0,0.6857545752561602,inf,0.6631502138377713,AP Only,White,White*,F,Third person,0,5,False,mrs dalloway - woolf
160,1.0,1.0,0.5120420245588961,0.5120420245588961,inf,AP Only,Non-white,Multiracial†,M,First person,0,1,False,moor s last sigh - rushdie
161,0.8451984247197819,0.8223880597014925,0.49305096997351655,0.47722779493547746,0.5744353103799746,Teachers Only,Non-white,Native/Indigenous,M,Third person,1,0,True,moon of the crusted snow - rice
162,1.0,1.0,0.3268415913005953,0.3268415913005953,inf,AP Only,Non-white,AAPI,F,First person,0,2,False,monkey bridge - cao
163,0.0,0.0,0.30712972532527005,inf,0.30712972532527005,AP Only,White,White*,F,First person,0,1,False,moll flanders - defoe
164,0.1420824295010846,0.06456953642384106,0.6074783897446413,0.7309336092203054,0.6074783897446413,AP Only,White,White*,M,First person,0,8,True,moby dick - melville
165,0.0,0.0,0.7197261529086291,inf,0.6920005606024299,AP Only,White,White*,F,Third person,0,2,False,mill on the floss - eliot
166,1.0,1.0,0.4460546039762403,0.4460546039762403,inf,AP Only,Non-white,AAPI,M,First person,0,1,False,midnight s children - rushdie
167,0.0,0.0,0.48334710161200806,inf,0.48334710161200806,AP Only,White,White*,NB,First person,0,1,False,middlesex - eugenides
168,0.0,0.0,0.8675722960556518,inf,0.7762420653214017,AP Only,White,White*,F,Third person,0,4,False,middlemarch - eliot
